spec,category_chain_or_product,method,status,reason,category,http_status,rpc_code,rpc_message
unichain,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method - stale nonce example,200,-32000,"nonce too low: next nonce 7, tx nonce 1"
unichain,chain,eth_sendRawTransactionSync,fail,jsonrpc error,Mutation method - stale nonce example,200,-32000,"nonce too low: next nonce 7, tx nonce 1"
opt,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32603,unimplemented
unichain,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32603,unimplemented
ink,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32603,unimplemented
stable,chain,eth_syncing,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_syncing on STABLE_MAINNET""}}"
celo,chain,eth_sendRawTransactionSync,fail,jsonrpc error,Mutation method - pre-EIP-155 example,200,-32000,only replay-protected (EIP-155) transactions allowed over RPC
stable,chain,net_listening,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: net_listening on STABLE_MAINNET""}}"
celo,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
scroll,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
scroll,chain,net_listening,fail,dns/connect,Host does not resolve,,,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate is not yet valid (_ssl.c:1016)
berachain,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32603,unimplemented
worldchain,chain,eth_sendRawTransactionSync,fail,jsonrpc error,Mutation method - stale nonce example,200,-32000,"nonce too low: next nonce 2, tx nonce 1"
worldchain,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32603,unimplemented
gensyn,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
lens,chain,web3_sha3,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
polygonzkevm,chain,zkevm_estimateFee,fail,jsonrpc error,Method not supported on chain,200,-32601,the method zkevm_estimateFee does not exist/is not available
sui,chain,unsafe_moveCall,fail,jsonrpc error,Other JSON-RPC error,200,-32000,ObjectID hex string must start with 0x.
polygonzkevm,chain,zkevm_estimateGasPrice,fail,jsonrpc error,Method not supported on chain,200,-32601,the method zkevm_estimateGasPrice does not exist/is not available
arc,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method - stale nonce example,200,-32000,"nonce too low: next nonce 18, tx nonce 1"
arc,chain,eth_sendRawTransactionSync,fail,jsonrpc error,Mutation method - stale nonce example,200,-32000,"nonce too low: next nonce 18, tx nonce 1"
arc,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32603,unimplemented
shape,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32603,unimplemented
monad,chain,eth_sendRawTransaction,fail,jsonrpc error,Other JSON-RPC error,200,-32603,Transaction fee too low
monad,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
monad,chain,eth_simulateV1,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
monad,chain,eth_sendRawTransactionSync,fail,jsonrpc error,Other JSON-RPC error,200,-32603,Transaction fee too low
gnosis,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,The method 'eth_submitWork' is not supported.
blast,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
blast,chain,eth_simulateV1,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_simulateV1 does not exist/is not available
xlayer,chain,eth_getFilterLogs,fail,HTTP 400,Stateless Try It - filter does not persist,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32000,""message"":""filter not found""}}"
xlayer,chain,eth_getFilterChanges,fail,HTTP 400,Stateless Try It - filter does not persist,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32000,""message"":""filter not found""}}"
linea,chain,eth_simulateV1,fail,jsonrpc error,Mutation method needs funded sender,200,-38014,err: insufficient funds for gas * price + value: address 0xC000000000000000000000000000000000000000 have 20000000000 want 30000000001 (supplied gas 2000000000)
linea,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
rise,chain,net_listening,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: net_listening on RISE_MAINNET""}}"
bnb,chain,eth_sendRawTransactionSync,fail,jsonrpc error,Other JSON-RPC error,200,-32000,"transaction gas price below minimum: gas tip cap 1000, minimum needed 50000000"
bnb,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method - stale nonce example,200,-32000,"nonce too low: next nonce 11156, tx nonce 1"
bnb,chain,eth_protocolVersion,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_protocolVersion does not exist/is not available
bundler,product,eth_sendUserOperation,fail,HTTP 400,Invalid params shape (-32602),400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32602,""message"":""invalid 1st argument: userOperation invalid user operation fields""}}"
mantle,chain,eth_getFilterLogs,fail,HTTP 400,Stateless Try It - filter does not persist,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32000,""message"":""filter not found""}}"
mantle,chain,eth_getProof,fail,jsonrpc error,Example payload type/format invalid,200,-32000,hex string invalid
hyperliquid,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
hyperliquid,chain,eth_syncing,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_syncing on HYPERLIQUID_MAINNET""}}"
ronin,chain,eth_getFilterChanges,fail,HTTP 400,Stateless Try It - filter does not persist,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32000,""message"":""filter not found""}}"
abstract,chain,eth_getRawTransactionByHash,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
matic,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method - pre-EIP-155 example,200,-32000,only replay-protected (EIP-155) transactions allowed over RPC
matic,chain,eth_sendRawTransactionSync,fail,jsonrpc error,Mutation method - pre-EIP-155 example,200,-32000,only replay-protected (EIP-155) transactions allowed over RPC
scroll,chain,web3_clientVersion,fail,dns/connect,Host does not resolve,,,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate is not yet valid (_ssl.c:1016)
polygonzkevm,chain,zkevm_getBroadcastURI,fail,jsonrpc error,Method not supported on chain,200,-32601,the method zkevm_getBroadcastURI does not exist/is not available
sui,chain,unsafe_publish,fail,jsonrpc error,Invalid params shape (-32602),200,-32602,Invalid params
sui,chain,unsafe_requestAddStake,fail,jsonrpc error,Other JSON-RPC error,200,-32000,unable to fetch object 0x8d776bfe8433e298973f7018e195906664985a80d060a288af6f9848094738bb
sui,chain,unsafe_splitCoin,fail,jsonrpc error,Other JSON-RPC error,200,-32000,unable to fetch object 0x8d776bfe8433e298973f7018e195906664985a80d060a288af6f9848094738bb
monad,chain,net_peerCount,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
xlayer,chain,eth_getProof,fail,jsonrpc error,Invalid params shape (-32602),200,-32602,Invalid params
bnb,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
zksync,chain,zks_getConfirmedTokens,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
matic,chain,eth_submitWork,fail,jsonrpc error,Other JSON-RPC error,200,-32000,"not supported, consensus engine is not ethash"
solana,chain,getPriorityFeeEstimate,fail,HTTP 400,Other failure,400,,"{""jsonrpc"":""2.0"",""id"":""1"",""result"":{""error"":""Invalid Base58 transaction""}}"
solana,chain,getStakeActivation,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
solana,chain,getTokenAccountBalance,fail,jsonrpc error,Invalid params shape (-32602),200,-32602,Invalid param: not a Token account
sui,chain,unsafe_splitCoinEqual,fail,jsonrpc error,Other JSON-RPC error,200,-32000,unable to fetch object 0x003f9c0f533b4f72b38e4dfd90f26c29f052eb855ab8fb1912d20ac2e39ac3bc
sui,chain,unsafe_transferSui,fail,jsonrpc error,Other JSON-RPC error,200,-32000,unable to fetch object 0x003f9c0f533b4f72b38e4dfd90f26c29f052eb855ab8fb1912d20ac2e39ac3bc
sui,chain,unsafe_transferObject,fail,jsonrpc error,Other JSON-RPC error,200,-32000,unable to fetch object 0x003f9c0f533b4f72b38e4dfd90f26c29f052eb855ab8fb1912d20ac2e39ac3bc
monad,chain,web3_sha3,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
debug,product,debug_traceBlockByNumber,fail,jsonrpc error,Other JSON-RPC error,200,-32008,Response is too big
zksync,chain,zks_getL2ToL1MsgProof,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
solana,chain,getTokenAccountsByOwner,fail,jsonrpc error,Invalid params shape (-32602),200,-32602,`params` should have at least 2 argument(s)
gas-manager-coverage,product,alchemy_requestFeePayer,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: alchemy_requestFeePayer on eth""}}"
gas-manager-coverage,product,alchemy_requestGasAndPaymasterAndData,fail,HTTP 400,Other JSON-RPC error,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32500,""message"":""validation reverted: [reason]: AA20 account not deployed"",""data"":{""reason"":""AA20 account not deployed""}}}"
gas-manager-coverage,product,alchemy_requestPaymasterAndData,fail,HTTP 400,Invalid params shape (-32602),400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32602,""message"":""invalid 1st argument: sponsorship_request 'userOperation': object was missing 'paymasterVerificationGasLimit' element""}}"
gas-manager-coverage,product,alchemy_requestPaymasterTokenQuote,fail,HTTP 400,Invalid params shape (-32602),400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32602,""message"":""invalid 1st argument: sponsorship_request object was missing 'erc20Context' element""}}"
abstract,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method - stale gas price example,200,3,max fee per gas less than block base fee
abstract,chain,eth_simulateV1,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
solana,chain,requestAirdrop,fail,jsonrpc error,Other JSON-RPC error,200,-32600,Invalid request
gas-manager-coverage,product,pm_getPaymasterData,fail,jsonrpc error,Invalid params shape (-32602),200,-32602,"Policy ID(s) not found. Please ensure you're sending requests with the API key associated with the policies' app, that the policies are active, and the network is allowed.[69d524a7-e932-4214-8673-dcdc"
gas-manager-coverage,product,pm_getPaymasterStubData,fail,HTTP 400,Invalid params shape (-32602),400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32602,""message"":""Policy not found""}}"
bundler,product,eth_estimateUserOperationGas,fail,HTTP 400,Invalid params shape (-32602),400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32602,""message"":""invalid 1st argument: userOperation invalid user operation fields""}}"
abstract,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
zksync,chain,zks_sendRawTransactionWithDetailedOutput,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
trace,product,trace_filter,fail,jsonrpc error,Example payload type/format invalid,200,-32602,invalid argument 0: json: cannot unmarshal string into Go struct field TraceFilterRequest.after of type uint64
abstract,chain,web3_sha3,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
trace,product,trace_rawTransaction,fail,jsonrpc error,Invalid params shape (-32602),200,-32602,failed to decode signed transaction
transaction-simulation,product,alchemy_simulateAssetChanges,fail,jsonrpc error,Mutation method - gas mismatch,200,-32000,intrinsic gas too low
transaction-simulation,product,alchemy_simulateExecution,fail,HTTP 400,Invalid params shape (-32602),400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32602,""message"":""invalid 1st argument: transaction argument was not valid transaction object or transaction hash""}}"
userop-sim,product,alchemy_simulateUserOperationAssetChanges,fail,jsonrpc error,Other JSON-RPC error,200,-32603,"ReferenceError: bigInt is not defined
    at result (unknown at :39:20)"
wallet-api,product,wallet_prepareCalls,fail,jsonrpc error,Invalid params shape (-32602),200,-32602,Sponsorship failed: failed to get policy: Policy not found
wallet-api,product,wallet_sendPreparedCalls,fail,jsonrpc error,Other JSON-RPC error,200,-32500,An error occurred while executing user operation: validation reverted: [reason]: AA25 invalid account nonce
wallet-api,product,wallet_createSession,fail,jsonrpc error,Invalid params shape (-32602),200,-32602,7702 account must be delegated before calling `wallet_createSession`
wallet-api,product,wallet_getCapabilities,fail,jsonrpc error,Stale example - address reference,200,-32000,Wallet address not found.
wallet-api,product,wallet_getCrossChainStatus_v0,fail,jsonrpc error,Invalid params shape (-32602),200,-32602,Chain not supported
wallet-api,product,wallet_requestQuote_v0,fail,jsonrpc error,Invalid params shape (-32602),200,-32602,Sponsorship failed: failed to get policy: Policy not found
eth,chain,eth_callBundle,fail,jsonrpc error,Invalid params shape (-32602),200,-32602,Invalid params
eth,chain,eth_callMany,fail,jsonrpc error,Mutation method needs funded sender,200,-32003,call_many error in bundle 0 and transaction 0: insufficient funds for gas * price + value: have 0 want 2023155498000000
